省份,网民数（万人）,互联网普及率,网民规模增速
北京,1218,69.40%,10.50%
上海,1239,64.50%,5.80%
广东,5324,55.30%,9.50%
浙江,2786,53.80%,13.60%
天津,648,52.70%,14.80%
福建,1848,50.90%,13.40%
辽宁,1916,44.40%,20.10%
江苏,3306,42.80%,19.60%
新疆,819,37.90%,29.10%
山西,1250,36.50%,17.50%
山东,3332,35.20%,20.30%
海南,303,35.10%,24.30%
重庆,990,34.60%,23.30%
陕西,1295,34.30%,30.20%
青海,188,33.60%,21.80%
湖北,1902,33.30%,29.50%
吉林,882,32.20%,21.50%
河北,2197,31.20%,19.30%
内蒙古,747,30.80%,29.90%
黑龙江,1127,29.50%,23.60%
宁夏,175,28.00%,24.30%
西藏,81,27.90%,52.70%
湖南,1747,27.30%,24.30%
河南,2417,25.50%,20.40%
广西,1226,25.20%,19.00%
甘肃,655,24.80%,22.40%
四川,1998,24.40%,22.20%
安徽,1392,22.70%,30.20%
云南,1021,22.30%,20.90%
江西,950,21.40%,20.20%
贵州,751,19.80%,31.10%
