省份,网民数（万人）,互联网普及率,网民规模增速
北京,1647,76.50%,3.40%
上海,1773,73.10%,3.30%
广东,7768,72.40%,6.60%
福建,2648,69.60%,7.10%
浙江,3596,65.30%,4.00%
天津,956,63.00%,5.80%
辽宁,2731,62.20%,5.90%
江苏,4416,55.50%,3.30%
新疆,1262,54.90%,10.80%
青海,318,54.50%,9.90%
山西,1975,54.20%,7.50%
海南,466,51.60%,10.80%
河北,3731,50.50%,3.60%
内蒙古,1259,50.30%,10.30%
陕西,1886,50.00%,8.10%
宁夏,326,49.30%,10.60%
山东,4789,48.90%,3.30%
重庆,1445,48.30%,6.50%
吉林,1313,47.70%,5.70%
湖北,2723,46.80%,3.70%
西藏,142,44.60%,15.30%
黑龙江,1707,44.50%,6.80%
广西,2033,42.80%,10.00%
四川,3260,40.00%,7.90%
湖南,2685,39.90%,4.10%
安徽,2395,39.40%,7.70%
河南,3703,39.20%,6.60%
甘肃,1005,38.80%,5.70%
江西,1759,38.70%,14.00%
贵州,1346,38.40%,10.10%
云南,1761,37.40%,7.20%
全国,68826,50.30%,6.10%
