省份,网民数（万人）,互联网普及率,网民规模增速
北京,737,46.60%,
天津,287,26.70%,
河北,762,11.10%,
山西,536,15.90%,
内蒙古,322,13.40%,
辽宁,783,18.30%,
吉林,434,15.90%,
黑龙江,476,12.50%,
上海,830,45.80%,
江苏,1757,23.30%,
浙江,1509,30.30%,
安徽,587,9.60%,
福建,866,24.30%,
江西,511,11.80%,
山东,1256,13.50%,
河南,956,10.20%,
湖北,706,12.40%,
湖南,690,10.90%,
广东,3344,35.90%,
广西,560,11.90%,
海南,144,17.20%,
重庆,356,12.70%,
四川,809,9.90%,
贵州,224,6.00%,
云南,303,6.80%,
西藏,36,12.70%,
陕西,517,13.90%,
甘肃,219,8.40%,
青海,60,11.00%,
宁夏,61,10.10%,
新疆,363,17.70%,
