省份,网民数（万人）,互联网普及率,网民规模增速
北京,1379,70.30%,13.20%
上海,1525,66.20%,23.10%
广东,6300,60.40%,18.30%
福建,2102,57.00%,13.70%
浙江,3052,56.10%,9.50%
天津,719,55.60%,10.90%
辽宁,2092,47.80%,9.20%
江苏,3685,46.80%,11.50%
新疆,882,40.40%,7.70%
山西,1405,39.30%,12.40%
海南,338,38.90%,11.40%
陕西,1429,38.30%,10.30%
山东,3625,37.80%,8.80%
湖北,2129,37.20%,11.90%
重庆,1068,37.00%,7.90%
青海,208,36.90%,10.40%
河北,2597,36.10%,18.20%
吉林,966,35.20%,9.50%
内蒙古,854,34.60%,14.40%
宁夏,207,32.80%,18.20%
黑龙江,1206,31.50%,7.00%
西藏,90,29.90%,10.80%
湖南,1936,29.50%,10.80%
广西,1353,29.40%,10.40%
四川,2229,27.70%,11.60%
河南,2582,27.50%,6.80%
甘肃,700,27.40%,6.90%
安徽,1585,26.60%,13.90%
云南,1140,24.80%,11.70%
江西,1088,24.40%,14.50%
贵州,840,24.20%,11.90%
全国,51310,38.30%,12.20%
