省份,网民数（万人）,互联网普及率,网民规模增速
北京,1556,75.20%,6.70%
上海,1683,70.70%,4.80%
广东,6992,66.00%,5.50%
福建,2402,64.10%,5.40%
天津,866,61.30%,9.20%
浙江,3330,60.80%,3.40%
辽宁,2453,55.90%,11.60%
江苏,4095,51.70%,3.60%
新疆,1094,49.00%,13.70%
山西,1755,48.60%,10.40%
青海,274,47.80%,15.10%
河北,3389,46.50%,12.70%
海南,411,46.40%,7.00%
陕西,1689,45.00%,8.90%
山东,4329,44.70%,12.00%
重庆,1293,43.90%,8.20%
内蒙古,1093,43.90%,13.30%
宁夏,283,43.70%,9.70%
湖北,2491,43.10%,7.90%
吉林,1163,42.30%,9.50%
黑龙江,1514,39.50%,13.90%
广西,1774,37.90%,11.90%
西藏,115,37.40%,13.90%
湖南,2410,36.30%,9.50%
安徽,2150,35.90%,15.00%
四川,2835,35.10%,10.70%
河南,3283,34.90%,15.00%
甘肃,894,34.70%,12.50%
贵州,1146,32.90%,15.60%
云南,1528,32.80%,15.70%
江西,1468,32.60%,15.90%
全国,61758,45.80%,9.50%
