省份,网民数（万人）,互联网普及率,网民规模增速
北京,1593,75.30%,2.40%
上海,1716,71.10%,2.00%
广东,7286,68.50%,4.20%
福建,2471,65.50%,2.90%
浙江,3458,62.90%,3.90%
天津,904,61.40%,4.40%
辽宁,2580,58.80%,5.20%
江苏,4274,53.80%,4.40%
山西,1838,50.60%,4.70%
新疆,1139,50.30%,4.20%
青海,289,50.00%,5.50%
河北,3603,49.10%,6.30%
山东,4634,47.60%,7.00%
海南,421,47.00%,2.30%
陕西,1745,46.40%,3.30%
内蒙古,1142,45.70%,4.50%
重庆,1357,45.70%,4.90%
湖北,2625,45.30%,5.40%
吉林,1243,45.20%,6.90%
宁夏,295,45.10%,4.20%
黑龙江,1599,41.70%,5.60%
西藏,123,39.40%,6.90%
广西,1848,39.20%,4.20%
湖南,2579,38.60%,7.00%
四川,3022,37.30%,6.60%
河南,3474,36.90%,5.80%
安徽,2225,36.90%,3.50%
甘肃,951,36.80%,6.40%
云南,1643,35.10%,7.50%
贵州,1222,34.90%,6.70%
江西,1543,34.10%,5.10%
全国,64875,47.90%,5%
