省份,GDP,year
贵州,3912.68,2009
新疆,4277.05,2009
天津,7521.85,2009
黑龙江,8587,2009
吉林,7278.75,2009
甘肃,3387.56,2009
海南,1654.21,2009
宁夏,1353.31,2009
青海,1081.27,2009
西藏,441.36,2009
广东,36796.71,2008
江苏,30981.98,2008
山东,30933.28,2008
浙江,21462.69,2008
河南,18018.53,2008
四川,12601.23,2008
湖北,11328.92,2008
福建,10823.01,2008
湖南,11555,2008
上海,14069.86,2008
安徽,8851.66,2008
河北,16011.97,2008
北京,11115,2008
陕西,7314.58,2008
江西,6971.05,2008
重庆,5793.66,2008
辽宁,13668.58,2008
云南,5692.12,2008
广西,7021,2008
山西,7315.4,2008
内蒙古,8496.2,2008
贵州,3561.56,2008
新疆,4183.21,2008
天津,6719.01,2008
黑龙江,8314.37,2008
吉林,6426.1,2008
甘肃,3166.82,2008
海南,1503.06,2008
宁夏,1203.92,2008
青海,1018.62,2008
西藏,394.85,2008
广东,31777.01,2007
江苏,26018.48,2007
山东,25776.91,2007
浙江,18753.73,2007
河南,15012.46,2007
四川,10562.39,2007
湖北,9333.4,2007
福建,9248.53,2007
湖南,9439.6,2007
上海,12494.01,2007
安徽,7360.92,2007
河北,13607.32,2007
北京,9846.81,2007
陕西,5757.29,2007
江西,5800.25,2007
重庆,4676.13,2007
辽宁,11164.3,2007
云南,4772.52,2007
广西,5823.41,2007
山西,6024.45,2007
内蒙古,6423.18,2007
贵州,2884.11,2007
新疆,3523.16,2007
天津,5252.76,2007
黑龙江,7104,2007
吉林,5284.69,2007
甘肃,2703.98,2007
海南,1254.17,2007
宁夏,919.11,2007
青海,797.35,2007
西藏,341.43,2007
